Candidate,Precinct #,Registered Voters - Total             ,Ballots Cast - Total                  ,Ballots Cast - Blank                  ,Alabama Democratic Party              ,Alabama Republican Party              ,Libertarian Party Of Alabama          ,Over Votes                            ,Under Votes                           ,Kamala D. Harris                      ,Donald J. Trump                       ,Robert F. Kennedy Jr.                 ,Chase Oliver                          ,Jill Stein                            ,Write-In                              ,Over Votes                            ,Under Votes                           ,Dale Strong                           ,Write-In                              ,Over Votes                            ,Under Votes                           ,Greg Griffin                          ,Sarah Stewart                         ,Write-In                              ,Over Votes                            ,Under Votes                           ,Chris McCool                          ,Write-In                              ,Over Votes                            ,Under Votes                           ,Tommy Bryan                           ,Write-In                              ,Over Votes                            ,Under Votes                           ,Will Sellers                          ,Write-In                              ,Over Votes                            ,Under Votes                           ,Jay Mitchell                          ,Write-In                              ,Over Votes                            ,Under Votes                           ,Christy Edwards                       ,Write-In                              ,Over Votes                            ,Under Votes                           ,Chad Hanson                           ,Write-In                              ,Over Votes                            ,Under Votes                           ,Terry A. Moore                        ,Write-In                              ,Over Votes                            ,Under Votes                           ,Richard Minor                         ,Write-In                              ,Over Votes                            ,Under Votes                           ,Rich Anderson                         ,Write-In                              ,Over Votes                            ,Under Votes                           ,Bill Cole                             ,Write-In                              ,Over Votes                            ,Under Votes                           ,Twinkle Andress Cavanaugh             ,Write-In                              ,Over Votes                            ,Under Votes                           ,Karen K. Hall                         ,Write-In                              ,Over Votes                            ,Under Votes                           ,Ruth Ann Hall                         ,Write-In                              ,Over Votes                            ,Under Votes                           ,Donna S. Pate                         ,Write-In                              ,Over Votes                            ,Under Votes                           ,Chris Comer                           ,Write-In                              ,Over Votes                            ,Under Votes                           ,Patrick M. Tuten                      ,Write-In                              ,Over Votes                            ,Under Votes                           ,Don Rizzardi                          ,Write-In                              ,Over Votes                            ,Under Votes                           ,Linda Coats                           ,Write-In                              ,Over Votes                            ,Under Votes                           ,Debra Kizer                           ,Write-In                              ,Over Votes                            ,Under Votes                           ,Frank Barger                          ,Jeffrey A Johnson                     ,Write-In                              ,Over Votes                            ,Under Votes                           ,"Guy G. Sotomayor, III                 ",Mac McCutcheon                        ,Alan F Barksdale                      ,Write-In                              ,CC_Total,Over Votes                            ,Under Votes                           ,Tom Brandon                           ,Mark W Jean                           ,Write-In                              ,Over Votes                            ,Under Votes                           ,Steve Haraway                         ,Isaac Crow                            ,Write-In                              ,Over Votes                            ,Under Votes                           ,Craig W. Hill                         ,Write-In                              ,Over Votes                            ,Under Votes                           ,Phil Vandiver                         ,Frank Hark                            ,Write-In                              ,Over Votes                            ,Under Votes                           ,Phil Riddick                          ,"Noah Oliver ""Ollie"" Rhys II           ",Write-In                              ,Over Votes                            ,Under Votes                           ,Violet Edwards                        ,Ralphael Law                          ,Write-In                              ,Over Votes                            ,Under Votes                           ,David Vess                            ,Write-In                              ,Over Votes                            ,Under Votes                           ,Wes Jones                             ,Write-In                              ,Over Votes                            ,Under Votes                           ,Yes                                   ,No                                    ,Over Votes                            ,Under Votes                           ,KH_Percent,DT_Percent,Libertarian_Percent,Green_Percent,GS_Percent,MM_Percent,Pres_Margin,CC_Margin,KHvsGS,LPvsGP
A & M UNIVERSITY NEW GYM,000001,7301,2013,1,1616,86,16,3,292,1870,107,14,1,5,5,9,2,891,115,0,1007,1802,165,8,4,34,905,111,0,997,900,111,0,1002,899,110,0,1004,897,111,0,1005,912,109,2,990,896,110,0,1007,902,111,1,999,889,112,1,1011,905,112,0,996,893,107,1,1012,888,114,0,1011,901,111,0,1001,894,110,2,1007,897,113,0,1003,892,109,0,1012,891,110,1,1011,886,114,1,1012,894,107,0,1012,891,102,1,1019,420,671,57,0,865,1750,129,82,8,1969,2,42,,,,,,,,,,,,,,,,,,,,,,,,,1814,108,12,4,75,,,,,0,0,0,0,1181,308,1,523,0.9289617486,0.05315449578,0.0004967709886,0.002483854943,0.8887760284,0.0655154901,-0.8758072529,-0.8232605383,-0.05254671451,-0.001987083954
ALDERSGATE UMC,000020,4992,3304,0,505,1229,12,0,1558,1267,1940,46,12,14,16,1,8,2247,143,0,914,1142,2004,5,3,150,2193,68,1,1042,2180,67,0,1057,2180,65,1,1058,2180,65,0,1059,2185,58,0,1061,2172,60,0,1072,2174,56,0,1074,2173,57,0,1074,2167,60,0,1077,2169,56,0,1079,2147,76,1,1080,2179,61,0,1064,2182,58,0,1064,2182,57,0,1065,2183,58,0,1063,2177,52,0,1075,2168,60,0,1076,2180,59,0,1065,2175,56,0,1073,1995,626,19,1,663,1023,1902,236,3,3164,0,140,,,,,,,,,,,,,,,,,,,,2026,612,22,0,644,,,,,,,,,,,,,,1849,477,0,978,0.3834745763,0.5871670702,0.003631961259,0.004237288136,0.3233249052,0.6011378003,0.2036924939,0.2778128951,-0.07412040112,-0.0006053268765
BOB HARRISON SR_ CTR_,000038,3887,1900,1,1244,199,15,0,442,1565,305,13,2,6,3,1,5,564,77,0,1259,1511,322,3,2,62,511,73,0,1316,519,62,0,1319,517,61,0,1322,511,63,1,1325,511,57,0,1332,497,57,0,1346,503,58,0,1339,492,59,0,1349,491,59,0,1350,493,61,0,1346,496,61,0,1343,514,57,0,1329,513,59,0,1328,505,55,0,1340,495,56,1,1348,497,57,0,1346,493,58,0,1349,511,55,0,1334,508,55,0,1337,359,359,25,0,1157,1479,300,65,3,1847,1,52,,,,,,,,,,,,,,,,,,,,,,,,,1545,145,10,0,200,120,2,0,159,,,,,881,348,0,671,0.8236842105,0.1605263158,0.001052631579,0.003157894737,0.8007579859,0.162425555,-0.6631578947,-0.638332431,-0.02482546377,-0.002105263158
BOBO VFD,000081,2881,1697,0,266,818,9,0,604,439,1224,16,4,4,7,0,3,1287,53,0,357,437,1211,5,0,44,1278,27,0,392,1272,26,0,399,1271,23,0,403,1268,23,0,406,1265,21,0,411,1265,19,0,413,1267,19,0,411,1264,19,0,414,1266,18,0,413,1266,16,0,415,1255,28,0,414,1265,22,0,410,1267,22,0,408,1263,20,0,414,1263,19,1,414,1259,19,0,419,1265,19,0,413,1259,19,0,419,1264,18,0,415,1179,219,10,0,289,398,1174,91,2,1665,0,32,,,,,,,,,,,,,,,1203,214,12,0,268,,,,,,,,,,,,,,,,,,,932,294,0,471,0.2586918091,0.7212728344,0.002357100766,0.002357100766,0.239039039,0.7051051051,0.4625810253,0.4660660661,-0.003485040727,0
BROWNSBORO BAPT CH,000077,3153,1999,0,235,953,11,0,800,499,1470,10,11,3,4,0,2,1569,56,0,374,455,1472,3,0,69,1556,24,0,419,1553,23,0,423,1555,23,0,421,1550,22,0,427,1540,23,0,436,1534,24,0,441,1542,20,0,437,1535,22,0,442,1535,22,1,441,1537,19,0,443,1534,26,0,439,1547,21,0,431,1548,23,0,428,1544,21,0,434,1534,21,0,444,1531,24,0,444,1530,25,0,444,1535,26,0,438,1545,22,0,432,1452,257,8,0,282,402,1420,114,2,1938,0,61,,,,,,,,,,,1571,29,0,399,,,,,,,,,,,,,,,,,,,,,,,,1044,346,0,609,0.2496248124,0.7353676838,0.005502751376,0.001500750375,0.2074303406,0.7327141383,0.4857428714,0.5252837977,-0.03954092629,0.004002001001
CAVALRY HILL COMMUNITY CTR,000039,3682,1195,0,665,201,14,3,312,876,277,13,7,3,6,10,3,459,64,0,672,839,300,4,3,49,446,50,0,699,445,45,0,705,441,48,0,706,442,46,0,707,453,42,0,700,441,42,0,712,444,44,0,707,436,41,0,718,429,43,0,723,433,44,0,718,427,49,0,719,440,42,0,713,434,43,1,717,437,43,0,715,437,43,0,715,433,44,0,718,431,43,0,721,444,42,0,709,443,41,0,711,308,294,22,1,570,822,266,57,7,1152,1,42,,,,,,,,,,,,,,,,,,,,,,,,,863,146,12,1,173,,,,,,,,,598,209,0,388,0.7330543933,0.2317991632,0.005857740586,0.002510460251,0.7135416667,0.2309027778,-0.5012552301,-0.4826388889,-0.01861634124,0.003347280335
CH OF JESUS CHRIST LDS,000106,4804,2344,0,657,616,12,0,1059,1273,1011,20,9,3,22,0,6,1388,156,0,800,1206,1059,6,0,73,1364,98,0,882,1366,96,0,882,1360,97,0,887,1356,92,0,896,1363,84,0,897,1353,85,0,906,1351,85,0,908,1352,87,0,905,1350,87,0,907,1346,87,0,911,1336,98,0,910,1345,94,0,905,1356,88,0,900,1351,89,0,904,1345,84,0,915,1344,88,0,912,1344,87,0,913,1348,88,0,908,1352,84,0,908,1094,604,35,0,611,1126,944,191,2,2263,0,81,,,,,,1076,630,32,0,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379,420,0,545,0.5430887372,0.4313139932,0.003839590444,0.001279863481,0.4975695979,0.4171453822,-0.111774744,-0.08042421564,-0.03135052838,0.002559726962
CHASE PARK CH OF CHRIST,000007,8756,5251,0,1152,2150,23,0,1926,1988,3154,31,22,16,34,1,5,3557,210,0,1484,1931,3168,4,11,137,3485,126,1,1639,3467,129,0,1655,3458,127,1,1665,3454,124,1,1672,3468,104,0,1679,3439,113,0,1699,3445,115,0,1691,3439,110,1,1701,3439,111,0,1701,3441,110,0,1700,3424,127,1,1699,3470,106,0,1675,3469,106,0,1676,3459,107,0,1685,3456,90,1,1704,3446,95,0,1710,3445,93,0,1713,3458,112,0,1681,3453,91,0,1707,3149,832,38,2,1230,1747,3038,306,11,5102,6,143,3121,863,51,2,1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3430,106,1,1656,2959,898,1,1393,0.3785945534,0.6006474957,0.004189678157,0.003047038659,0.3424147393,0.5954527636,0.2220529423,0.2530380243,-0.03098508201,0.001142639497
CLUBHOUSE ON GREEN MTN,000029,1322,914,0,105,372,1,0,436,265,627,4,6,3,4,0,5,676,45,0,193,247,636,2,1,28,672,16,0,226,669,14,0,231,668,13,0,233,664,15,0,235,666,14,0,234,664,15,0,235,665,14,0,235,667,14,0,233,666,13,0,235,666,12,0,236,658,21,0,235,663,14,1,236,664,12,0,238,666,13,0,235,663,13,0,238,661,12,0,241,663,12,0,239,666,13,0,235,660,15,0,239,610,144,7,0,153,230,581,65,0,876,0,38,,,,,,,,,,,545,14,0,190,,,,,,110,26,2,0,27,,,,,,,,,,,,,,508,161,0,245,0.2899343545,0.6859956236,0.006564551422,0.003282275711,0.2625570776,0.6632420091,0.3960612691,0.4006849315,-0.00462366236,0.003282275711
CO_ COMMISSION DIST_ 1,000080,4608,2441,0,371,1209,21,0,840,620,1789,9,6,7,6,0,4,1894,67,0,480,593,1736,5,0,107,1849,41,0,551,1854,37,0,550,1841,39,0,561,1839,38,0,564,1851,34,0,556,1838,38,0,565,1838,38,0,565,1823,42,0,576,1833,38,0,570,1829,40,0,572,1843,40,0,558,1856,36,0,549,1853,37,0,551,1842,38,0,561,1831,38,0,572,1832,38,0,571,1829,37,0,575,1834,43,0,564,1840,34,0,567,1709,306,15,0,411,535,1699,121,3,2358,0,83,1783,300,18,0,340,,,,,,,,,,,,,,,,,,,,,,,,,971,27,0,325,880,10,0,228,1212,411,0,818,0.2539942646,0.732896354,0.002458009013,0.002867677181,0.2268871925,0.7205258694,0.4789020893,0.4936386768,-0.01473658754,-0.0004096681688
